start_x,start_y,goal_x,goal_y,radius
67,309,452,59,10
87,272,304,501,10
137,625,397,980,10
638,672,693,167,10
874,695,984,888,10
432,927,928,428,10
276,358,362,865,10
708,134,166,616,10
789,39,986,523,10
649,938,496,290,10
295,181,714,264,10
683,786,255,98,10
589,309,345,148,10
1009,520,412,872,10
574,652,799,927,10
94,725,578,962,10
255,298,381,714,10
396,961,461,917,10
1012,1005,440,237,10
812,977,766,450,10
890,543,841,139,10
112,196,557,47,10
881,714,854,714,10
804,647,72,24,10
940,812,141,329,10
966,501,504,301,10
791,922,513,411,10
251,263,612,183,10
640,653,608,41,10
560,1011,129,303,10
850,486,382,811,10
794,787,151,602,10
568,904,588,767,10
665,391,20,642,10
878,411,68,103,10
280,164,549,909,10
268,927,658,897,10
753,580,971,887,10
482,995,166,755,10
134,872,708,878,10
741,584,303,690,10
850,114,934,130,10
603,97,682,101,10
39,30,30,552,10
139,477,586,749,10
109,974,794,51,10
204,856,762,991,10
335,376,142,485,10
558,867,332,20,10
769,594,109,203,10
558,835,419,326,10
817,833,213,480,10
36,943,205,738,10
806,1010,320,318,10
462,283,800,1010,10
72,53,407,593,10
938,468,364,892,10
858,801,807,88,10
885,895,115,839,10
909,726,845,1000,10
374,50,119,719,10
629,184,791,930,10
545,338,940,486,10
108,69,624,326,10
309,922,977,901,10
420,765,122,695,10
273,842,864,346,10
120,720,41,132,10
547,25,270,161,10
659,549,305,793,10
819,783,425,910,10
906,918,461,989,10
748,478,733,587,10
479,988,411,114,10
484,74,983,904,10
584,453,134,176,10
538,845,349,650,10
319,883,839,988,10
584,877,14,281,10
802,412,488,904,10
423,251,195,145,10
534,819,634,549,10
74,927,200,101,10
10,324,74,250,10
673,695,678,668,10
508,830,839,351,10
599,898,596,967,10
875,345,345,926,10
24,60,896,755,10
329,943,426,1005,10
980,34,904,928,10
383,826,299,47,10
906,130,845,1010,10
221,142,872,918,10
530,936,405,898,10
591,971,467,884,10
998,744,139,178,10
20,933,873,752,10
356,637,687,517,10
35,318,298,67,10
